"STATION","NAME","DATE","PRCP","TAVG"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2000-01","1.54","25.5"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2000-02","1.69","33.7"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2000-03","1.28","44.0"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2000-04","4.66","46.3"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2000-05","4.37","60.9"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2000-06","5.27","67.3"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2000-07","3.93","70.1"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2000-08","2.53","72.0"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2000-09","6.03","64.8"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2000-10","2.01","56.4"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2000-11","3.05","39.1"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2000-12","2.71","18.0"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2001-01","1.06","26.0"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2001-02","2.52","26.9"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2001-03","1.59","34.0"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2001-04","3.52","51.0"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2001-05","4.77","60.2"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2001-06","3.95","66.3"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2001-07","2.66","73.2"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2001-08","8.77","73.1"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2001-09","5.27","62.5"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2001-10","8.20","52.1"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2001-11","1.35","48.5"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2001-12","1.15","34.8"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2002-01","1.46","31.9"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2002-02","1.12","33.3"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2002-03","2.50","34.0"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2002-04","3.19","48.8"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2002-05","4.20","53.4"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2002-06","3.69","69.1"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2002-07","1.43","75.8"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2002-08","8.12","73.1"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2002-09","3.40","66.5"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2002-10","1.61","50.5"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2002-11","1.68","38.4"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2002-12","1.29","30.2"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2003-01","0.42","20.6"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2003-02","0.15","22.8"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2003-03","1.86","36.4"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2003-04","2.54","45.6"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2003-05","6.84","53.8"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2003-06","1.18","63.8"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2003-07","5.13","71.7"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2003-08","1.20","73.9"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2003-09","2.02","63.4"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2003-10","2.03","51.6"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2003-11","5.59","42.1"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2003-12","1.91","32.3"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2004-01","1.13","20.2"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2004-02","0.89","26.7"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2004-03","3.66","42.3"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2004-04","1.45","49.4"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2004-05","9.43","58.1"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2004-06","3.20","66.0"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2004-07","3.14","70.8"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2004-08","3.81","67.4"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2004-09","0.23","66.4"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2004-10","2.63","53.2"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2004-11","3.53","44.7"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2004-12","2.31","28.5"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2005-01","4.12","25.7"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2005-02","1.90","32.5"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2005-03","1.28","34.4"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2005-04","1.06","50.1"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2005-05","1.80","56.2"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2005-06","0.78","73.0"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2005-07","3.03","74.0"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2005-08","2.32","73.8"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2005-09","2.78","69.0"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2005-10","0.93","54.8"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2005-11","2.57","42.0"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2005-12","1.82","23.9"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2006-01","3.22","35.1"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2006-02","0.65","27.8"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2006-03","2.53","37.6"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2006-04","3.17","52.0"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2006-05","3.67","58.9"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2006-06","2.10","66.5"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2006-07","2.41","74.9"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2006-08","3.30","73.1"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2006-09","5.32","61.8"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2006-10","7.75","47.9"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2006-11","3.06","43.1"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2006-12","3.30","33.3"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2007-01","1.65","28.8"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2007-02","2.06","17.8"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2007-03","3.14","41.1"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2007-04","4.16","45.6"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2007-05","2.19","60.5"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2007-06","2.31","69.3"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2007-07","2.84","71.7"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2007-08","12.76","73.8"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2007-09","2.02","67.0"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2007-10","1.94","58.5"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2007-11","1.28","39.9"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2007-12","5.02","28.0"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2008-01","2.13","24.6"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2008-02","4.70","22.5"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2008-03","2.47","33.9"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2008-04","3.86","48.7"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2008-05","3.36","55.1"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2008-06","4.72","69.2"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2008-07","4.66","72.9"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2008-08","1.20","71.5"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2008-09","12.74","66.0"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2008-10","2.59","51.7"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2008-11","1.32","39.5"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2008-12","6.57","22.3"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2009-01","1.53","16.3"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2009-02","3.07","27.6"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2009-03","4.80","37.7"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2009-04","4.81","45.1"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2009-05","3.98","58.2"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2009-06","6.80","65.4"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2009-07","1.28","68.5"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2009-08","5.24","70.1"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2009-09","0.80","64.3"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2009-10","7.42","48.8"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2009-11","1.56","45.9"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2009-12","3.58","27.9"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2010-01","0.93","22.7"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2010-02","1.87","26.9"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2010-03","1.50","39.2"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2010-04","2.71","53.6"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2010-05","6.37","60.7"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2010-06","5.66","70.6"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2010-07","5.51","77.3"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2010-08","2.54","75.6"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2010-09","3.33","64.5"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2010-10","1.15","55.2"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2010-11","1.93","42.5"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2010-12","2.52","23.4"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2011-01","1.03","22.2"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2011-02",,"26.9"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2011-03",,"36.0"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2011-04","5.83","46.3"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2011-05","7.78","56.8"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2011-06","2.61","68.0"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2011-07","7.14","77.7"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2011-08","4.56","72.8"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2011-09","4.63","63.4"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2011-10","2.46","53.9"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2011-11","3.32","44.8"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2011-12","2.48","35.0"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2012-01","2.09","29.1"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2012-02","1.52","32.8"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2012-03","2.31","51.5"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2012-04","2.90","48.5"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2012-05","2.17","62.5"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2012-06","2.70","71.1"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2012-07","4.18","80.7"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2012-08","4.90","72.6"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2012-09","2.27","63.6"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2012-10","2.70","51.0"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2012-11","0.79","40.4"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2012-12","2.91","36.5"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2013-01","3.23","26.8"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2013-02","3.17","24.8"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2013-03","1.81","31.7"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2013-04","6.28","45.9"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2013-05","4.94","59.3"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2013-06","5.94","66.8"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2013-07","2.78","72.1"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2013-08","1.46","71.6"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2013-09","2.36","65.7"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2013-10","2.18","52.2"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2013-11","2.78","37.6"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2013-12","1.72","23.0"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2014-01","3.02","14.2"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2014-02","2.72","16.7"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2014-03","1.35","29.1"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2014-04","2.89","46.3"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2014-05","7.09","58.3"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2014-06","5.88","67.1"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2014-07","4.27","69.2"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2014-08","4.80","71.5"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2014-09","2.87","63.0"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2014-10","5.14","51.5"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2014-11","1.57","34.0"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2014-12","0.86","33.0"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2015-01","1.45","21.9"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2015-02","1.70","15.7"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2015-03","1.08","34.2"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2015-04","3.20","48.2"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2015-05","4.22","60.2"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2015-06","5.21","65.4"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2015-07","3.41","70.7"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2015-08","4.97","71.6"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2015-09","4.74","68.9"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2015-10","1.66","54.1"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2015-11","4.72","44.7"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2015-12","5.40","39.7"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2016-01","0.72","24.1"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2016-02","1.21","30.4"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2016-03","2.46","41.9"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2016-04","2.63","45.8"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2016-05","5.85","57.7"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2016-06","3.57","70.2"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2016-07","5.75","74.9"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2016-08","4.27","75.4"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2016-09","2.46","69.3"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2016-10","3.84","56.6"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2016-11","1.82","47.1"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2016-12","1.61","26.7"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2017-01","1.31","28.4"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2017-02","0.69","36.5"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2017-03","4.56","37.2"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2017-04","4.93","51.0"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2017-05","5.37","55.8"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2017-06","7.18","70.2"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2017-07","7.93","72.6"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2017-08","1.66","69.9"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2017-09","0.75","67.5"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2017-10","9.39","56.6"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2017-11","1.95","38.5"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2017-12","0.58","26.9"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2018-01","1.29","23.4"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2018-02","4.92","28.0"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2018-03","1.39","35.2"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2018-04","2.83","38.7"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2018-05","8.78","62.3"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2018-06","9.75","67.7"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2018-07","2.76","74.3"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2018-08","5.41","74.5"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2018-09","3.67","67.7"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2018-10","4.57","51.5"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2018-11","3.47","34.7"
"USC00111497","CHICAGO BOTANIC GARDEN, IL US","2018-12","2.27","32.4"
